Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,1,0,2230.183,2200,2200,0,2200,02/22/2019 17:00:36,02/22/2019 16:23:26,3232.6378,-1640.1,0,1002.184,0,3247.514,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2250.183,2220,2220,0,2220,02/22/2019 17:00:56,02/22/2019 16:23:26,3232.509,-1640.1,0,1011.295,0,3276.965,30,0,0,0,0,0,0,0,25.74,25.1,,,,
187,1,SBT0550,001,1,,1,0,2270.183,2240,2240,0,2240,02/22/2019 17:01:16,02/22/2019 16:23:26,3232.4034,-1639.8,0,1020.406,0,3306.416,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2290.183,2260,2260,0,2260,02/22/2019 17:01:36,02/22/2019 16:23:26,3232.2524,-1639.9,0,1029.517,0,3335.865,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2310.183,2280,2280,0,2280,02/22/2019 17:01:56,02/22/2019 16:23:26,3232.3074,-1640.1,0,1038.627,0,3365.312,30,0,0,0,0,0,0,0,25.74,25.1,,,,
187,1,SBT0550,001,1,,1,0,2330.183,2300,2300,0,2300,02/22/2019 17:02:16,02/22/2019 16:23:26,3232.3166,-1639.9,0,1047.738,0,3394.76,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2350.183,2320,2320,0,2320,02/22/2019 17:02:36,02/22/2019 16:23:26,3231.9144,-1639.9,0,1056.849,0,3424.206,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2370.183,2340,2340,0,2340,02/22/2019 17:02:56,02/22/2019 16:23:26,3231.9446,-1640,0,1065.959,0,3453.652,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,2390.183,2360,2360,0,2360,02/22/2019 17:03:16,02/22/2019 16:23:26,3231.8256,-1640,0,1075.07,0,3483.096,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2410.183,2380,2380,0,2380,02/22/2019 17:03:36,02/22/2019 16:23:26,3231.7524,-1639.7,0,1084.181,0,3512.541,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2430.183,2400,2400,0,2400,02/22/2019 17:03:56,02/22/2019 16:23:26,3231.7118,-1639.9,0,1093.292,0,3541.985,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,2450.183,2420,2420,0,2420,02/22/2019 17:04:16,02/22/2019 16:23:26,3231.6904,-1640,0,1102.402,0,3571.428,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2470.183,2440,2440,0,2440,02/22/2019 17:04:36,02/22/2019 16:23:26,3231.5994,-1639.9,0,1111.513,0,3600.87,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2490.183,2460,2460,0,2460,02/22/2019 17:04:56,02/22/2019 16:23:26,3231.4632,-1640,0,1120.624,0,3630.312,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,2510.183,2480,2480,0,2480,02/22/2019 17:05:16,02/22/2019 16:23:26,3231.2924,-1639.8,0,1129.735,0,3659.752,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2530.183,2500,2500,0,2500,02/22/2019 17:05:36,02/22/2019 16:23:26,3231.5138,-1639.9,0,1138.846,0,3689.192,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2550.183,2520,2520,0,2520,02/22/2019 17:05:56,02/22/2019 16:23:26,3231.4222,-1639.9,0,1147.956,0,3718.631,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,2570.183,2540,2540,0,2540,02/22/2019 17:06:16,02/22/2019 16:23:26,3231.0328,-1640.1,0,1157.067,0,3748.07,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2590.183,2560,2560,0,2560,02/22/2019 17:06:36,02/22/2019 16:23:26,3230.9362,-1640.2,0,1166.178,0,3777.508,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2610.183,2580,2580,0,2580,02/22/2019 17:06:56,02/22/2019 16:23:26,3231.1742,-1639.9,0,1175.288,0,3806.945,30,0,0,0,0,0,0,0,25.75,25,,,,
187,1,SBT0550,001,1,,1,0,2630.183,2600,2600,0,2600,02/22/2019 17:07:16,02/22/2019 16:23:26,3230.8864,-1639.9,0,1184.399,0,3836.381,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2650.183,2620,2620,0,2620,02/22/2019 17:07:36,02/22/2019 16:23:26,3230.7528,-1639.9,0,1193.51,0,3865.817,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2670.183,2640,2640,0,2640,02/22/2019 17:07:56,02/22/2019 16:23:26,3230.69,-1639.9,0,1202.621,0,3895.252,30,0,0,0,0,0,0,0,25.72,25.1,,,,
187,1,SBT0550,001,1,,1,0,2690.183,2660,2660,0,2660,02/22/2019 17:08:16,02/22/2019 16:23:26,3230.7028,-1639.8,0,1211.732,0,3924.687,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2710.183,2680,2680,0,2680,02/22/2019 17:08:36,02/22/2019 16:23:26,3230.6206,-1640.1,0,1220.842,0,3954.12,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2730.183,2700,2700,0,2700,02/22/2019 17:08:56,02/22/2019 16:23:26,3230.5648,-1640.1,0,1229.953,0,3983.553,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,2750.183,2720,2720,0,2720,02/22/2019 17:09:16,02/22/2019 16:23:26,3230.4806,-1639.8,0,1239.064,0,4012.985,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2770.183,2740,2740,0,2740,02/22/2019 17:09:36,02/22/2019 16:23:26,3230.2536,-1640.1,0,1248.175,0,4042.416,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2790.183,2760,2760,0,2760,02/22/2019 17:09:56,02/22/2019 16:23:26,3230.361,-1640.1,0,1257.285,0,4071.847,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,2810.183,2780,2780,0,2780,02/22/2019 17:10:16,02/22/2019 16:23:26,3230.4226,-1640.1,0,1266.396,0,4101.278,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2830.183,2800,2800,0,2800,02/22/2019 17:10:36,02/22/2019 16:23:26,3230.183,-1639.8,0,1275.507,0,4130.709,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2850.183,2820,2820,0,2820,02/22/2019 17:10:56,02/22/2019 16:23:26,3230.1802,-1639.8,0,1284.618,0,4160.139,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,2870.183,2840,2840,0,2840,02/22/2019 17:11:16,02/22/2019 16:23:26,3230.0032,-1640.1,0,1293.728,0,4189.568,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2890.183,2860,2860,0,2860,02/22/2019 17:11:36,02/22/2019 16:23:26,3229.8792,-1639.8,0,1302.839,0,4218.996,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2910.183,2880,2880,0,2880,02/22/2019 17:11:56,02/22/2019 16:23:26,3229.867,-1639.9,0,1311.95,0,4248.424,30,0,0,0,0,0,0,0,25.74,25.1,,,,
187,1,SBT0550,001,1,,1,0,2930.183,2900,2900,0,2900,02/22/2019 17:12:16,02/22/2019 16:23:26,3229.6872,-1639.9,0,1321.061,0,4277.849,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2950.183,2920,2920,0,2920,02/22/2019 17:12:36,02/22/2019 16:23:26,3229.4102,-1639.9,0,1330.171,0,4307.273,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2970.183,2940,2940,0,2940,02/22/2019 17:12:56,02/22/2019 16:23:26,3229.5832,-1640.2,0,1339.282,0,4336.696,30,0,0,0,0,0,0,0,25.75,25,,,,
187,1,SBT0550,001,1,,1,0,2990.183,2960,2960,0,2960,02/22/2019 17:13:16,02/22/2019 16:23:26,3229.3988,-1640.2,0,1348.393,0,4366.119,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3010.183,2980,2980,0,2980,02/22/2019 17:13:36,02/22/2019 16:23:26,3229.2842,-1640.1,0,1357.504,0,4395.541,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3030.183,3000,3000,0,3000,02/22/2019 17:13:56,02/22/2019 16:23:26,3229.3202,-1639.9,0,1366.614,0,4424.963,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,3050.183,3020,3020,0,3020,02/22/2019 17:14:16,02/22/2019 16:23:26,3229.5614,-1639.9,0,1375.725,0,4454.386,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3070.183,3040,3040,0,3040,02/22/2019 17:14:36,02/22/2019 16:23:26,3229.236,-1640.1,0,1384.836,0,4483.807,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3090.183,3060,3060,0,3060,02/22/2019 17:14:56,02/22/2019 16:23:26,3228.8732,-1639.8,0,1393.947,0,4513.227,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,3110.183,3080,3080,0,3080,02/22/2019 17:15:16,02/22/2019 16:23:26,3228.9978,-1640,0,1403.057,0,4542.645,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3130.183,3100,3100,0,3100,02/22/2019 17:15:36,02/22/2019 16:23:26,3228.9718,-1639.7,0,1412.168,0,4572.063,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3150.183,3120,3120,0,3120,02/22/2019 17:15:56,02/22/2019 16:23:26,3228.6928,-1639.8,0,1421.279,0,4601.481,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,3170.183,3140,3140,0,3140,02/22/2019 17:16:16,02/22/2019 16:23:26,3228.6626,-1639.9,0,1430.39,0,4630.896,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3190.183,3160,3160,0,3160,02/22/2019 17:16:36,02/22/2019 16:23:26,3228.4026,-1640,0,1439.501,0,4660.311,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3210.183,3180,3180,0,3180,02/22/2019 17:16:56,02/22/2019 16:23:26,3228.4214,-1639.9,0,1448.611,0,4689.726,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,3230.183,3200,3200,0,3200,02/22/2019 17:17:16,02/22/2019 16:23:26,3228.3754,-1640,0,1457.722,0,4719.141,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3250.183,3220,3220,0,3220,02/22/2019 17:17:36,02/22/2019 16:23:26,3228.2746,-1640,0,1466.833,0,4748.554,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3270.183,3240,3240,0,3240,02/22/2019 17:17:56,02/22/2019 16:23:26,3228.1922,-1640.1,0,1475.944,0,4777.966,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,3290.183,3260,3260,0,3260,02/22/2019 17:18:16,02/22/2019 16:23:26,3228.0434,-1639.8,0,1485.055,0,4807.377,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3310.183,3280,3280,0,3280,02/22/2019 17:18:36,02/22/2019 16:23:26,3228.2352,-1640.1,0,1494.166,0,4836.787,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3330.183,3300,3300,0,3300,02/22/2019 17:18:56,02/22/2019 16:23:26,3227.9804,-1639.5,0,1503.276,0,4866.197,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,3350.183,3320,3320,0,3320,02/22/2019 17:19:16,02/22/2019 16:23:26,3228.1376,-1640,0,1512.387,0,4895.607,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3370.183,3340,3340,0,3340,02/22/2019 17:19:36,02/22/2019 16:23:26,3227.792,-1639.8,0,1521.498,0,4925.015,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3390.183,3360,3360,0,3360,02/22/2019 17:19:56,02/22/2019 16:23:26,3227.773,-1639.8,0,1530.608,0,4954.423,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,3410.183,3380,3380,0,3380,02/22/2019 17:20:16,02/22/2019 16:23:26,3227.906,-1639.9,0,1539.719,0,4983.83,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3430.183,3400,3400,0,3400,02/22/2019 17:20:36,02/22/2019 16:23:26,3227.5778,-1640,0,1548.83,0,5013.237,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3450.183,3420,3420,0,3420,02/22/2019 17:20:56,02/22/2019 16:23:26,3227.2954,-1640,0,1557.941,0,5042.642,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,3470.183,3440,3440,0,3440,02/22/2019 17:21:16,02/22/2019 16:23:26,3227.4168,-1640.1,0,1567.052,0,5072.045,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3490.183,3460,3460,0,3460,02/22/2019 17:21:36,02/22/2019 16:23:26,3227.0908,-1639.9,0,1576.163,0,5101.448,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3510.183,3480,3480,0,3480,02/22/2019 17:21:56,02/22/2019 16:23:26,3227.294,-1640,0,1585.273,0,5130.851,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,3530.183,3500,3500,0,3500,02/22/2019 17:22:16,02/22/2019 16:23:26,3227.0922,-1640,0,1594.384,0,5160.252,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3550.183,3520,3520,0,3520,02/22/2019 17:22:36,02/22/2019 16:23:26,3226.8924,-1639.8,0,1603.495,0,5189.652,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3570.183,3540,3540,0,3540,02/22/2019 17:22:56,02/22/2019 16:23:26,3226.6262,-1639.6,0,1612.606,0,5219.051,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,3590.183,3560,3560,0,3560,02/22/2019 17:23:16,02/22/2019 16:23:26,3226.699,-1639.9,0,1621.716,0,5248.45,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3610.183,3580,3580,0,3580,02/22/2019 17:23:36,02/22/2019 16:23:26,3226.7348,-1639.9,0,1630.827,0,5277.847,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3630.183,3600,3600,0,3600,02/22/2019 17:23:56,02/22/2019 16:23:26,3226.3822,-1640,0,1639.938,0,5307.243,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,3650.183,3620,3620,0,3620,02/22/2019 17:24:16,02/22/2019 16:23:26,3226.1716,-1640.2,0,1649.049,0,5336.638,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3670.183,3640,3640,0,3640,02/22/2019 17:24:36,02/22/2019 16:23:26,3226.1916,-1639.8,0,1658.16,0,5366.032,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3690.183,3660,3660,0,3660,02/22/2019 17:24:56,02/22/2019 16:23:26,3226.1428,-1639.8,0,1667.27,0,5395.425,30,0,0,0,0,0,0,0,25.74,25,,,,
187,1,SBT0550,001,1,,1,0,3710.183,3680,3680,0,3680,02/22/2019 17:25:16,02/22/2019 16:23:26,3226.1418,-1640.1,0,1676.381,0,5424.816,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3730.183,3700,3700,0,3700,02/22/2019 17:25:36,02/22/2019 16:23:26,3225.932,-1639.8,0,1685.492,0,5454.207,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3750.183,3720,3720,0,3720,02/22/2019 17:25:56,02/22/2019 16:23:26,3225.7724,-1640.1,0,1694.603,0,5483.597,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,3770.183,3740,3740,0,3740,02/22/2019 17:26:16,02/22/2019 16:23:26,3225.5394,-1639.8,0,1703.713,0,5512.987,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3790.183,3760,3760,0,3760,02/22/2019 17:26:36,02/22/2019 16:23:26,3225.8186,-1640.1,0,1712.824,0,5542.376,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3810.183,3780,3780,0,3780,02/22/2019 17:26:56,02/22/2019 16:23:26,3225.5832,-1639.9,0,1721.935,0,5571.765,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,3830.183,3800,3800,0,3800,02/22/2019 17:27:16,02/22/2019 16:23:26,3225.4192,-1639.9,0,1731.046,0,5601.152,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3850.183,3820,3820,0,3820,02/22/2019 17:27:36,02/22/2019 16:23:26,3225.2034,-1639.9,0,1740.156,0,5630.537,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3870.183,3840,3840,0,3840,02/22/2019 17:27:56,02/22/2019 16:23:26,3225.0612,-1640,0,1749.267,0,5659.921,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,3890.183,3860,3860,0,3860,02/22/2019 17:28:16,02/22/2019 16:23:26,3225.072,-1640,0,1758.378,0,5689.305,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3910.183,3880,3880,0,3880,02/22/2019 17:28:36,02/22/2019 16:23:26,3224.99,-1639.7,0,1767.489,0,5718.688,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3930.183,3900,3900,0,3900,02/22/2019 17:28:56,02/22/2019 16:23:26,3224.9896,-1639.6,0,1776.599,0,5748.07,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,3950.183,3920,3920,0,3920,02/22/2019 17:29:16,02/22/2019 16:23:26,3224.7412,-1639.9,0,1785.71,0,5777.451,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3970.183,3940,3940,0,3940,02/22/2019 17:29:36,02/22/2019 16:23:26,3224.5322,-1640,0,1794.821,0,5806.831,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,3990.183,3960,3960,0,3960,02/22/2019 17:29:56,02/22/2019 16:23:26,3224.7364,-1639.7,0,1803.932,0,5836.21,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4010.183,3980,3980,0,3980,02/22/2019 17:30:16,02/22/2019 16:23:26,3224.4076,-1639.8,0,1813.043,0,5865.587,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4030.183,4000,4000,0,4000,02/22/2019 17:30:36,02/22/2019 16:23:26,3224.4686,-1640,0,1822.153,0,5894.965,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4050.183,4020,4020,0,4020,02/22/2019 17:30:56,02/22/2019 16:23:26,3224.36,-1639.8,0,1831.264,0,5924.341,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4070.183,4040,4040,0,4040,02/22/2019 17:31:16,02/22/2019 16:23:26,3224.089,-1640.1,0,1840.375,0,5953.716,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4090.183,4060,4060,0,4060,02/22/2019 17:31:36,02/22/2019 16:23:26,3224.026,-1639.9,0,1849.486,0,5983.091,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4110.183,4080,4080,0,4080,02/22/2019 17:31:56,02/22/2019 16:23:26,3224.0356,-1639.8,0,1858.596,0,6012.465,30,0,0,0,0,0,0,0,25.72,25,,,,
187,1,SBT0550,001,1,,1,0,4130.183,4100,4100,0,4100,02/22/2019 17:32:16,02/22/2019 16:23:26,3223.7488,-1640,0,1867.707,0,6041.837,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4150.183,4120,4120,0,4120,02/22/2019 17:32:36,02/22/2019 16:23:26,3223.547,-1640.1,0,1876.818,0,6071.206,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4170.183,4140,4140,0,4140,02/22/2019 17:32:56,02/22/2019 16:23:26,3223.3398,-1639.9,0,1885.929,0,6100.575,30,0,0,0,0,0,0,0,25.74,25.1,,,,
187,1,SBT0550,001,1,,1,0,4190.183,4160,4160,0,4160,02/22/2019 17:33:16,02/22/2019 16:23:26,3223.3658,-1639.9,0,1895.039,0,6129.943,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4210.183,4180,4180,0,4180,02/22/2019 17:33:36,02/22/2019 16:23:26,3223.2524,-1639.9,0,1904.15,0,6159.31,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4230.183,4200,4200,0,4200,02/22/2019 17:33:56,02/22/2019 16:23:26,3222.9896,-1639.7,0,1913.261,0,6188.676,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4250.183,4220,4220,0,4220,02/22/2019 17:34:16,02/22/2019 16:23:26,3223.135,-1640,0,1922.372,0,6218.04,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4270.183,4240,4240,0,4240,02/22/2019 17:34:36,02/22/2019 16:23:26,3222.9028,-1640.1,0,1931.483,0,6247.404,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4290.183,4260,4260,0,4260,02/22/2019 17:34:56,02/22/2019 16:23:26,3222.8236,-1640,0,1940.593,0,6276.766,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4310.183,4280,4280,0,4280,02/22/2019 17:35:16,02/22/2019 16:23:26,3222.917,-1639.8,0,1949.704,0,6306.128,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4330.183,4300,4300,0,4300,02/22/2019 17:35:36,02/22/2019 16:23:26,3222.406,-1640,0,1958.815,0,6335.488,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4350.183,4320,4320,0,4320,02/22/2019 17:35:56,02/22/2019 16:23:26,3222.1324,-1639.8,0,1967.926,0,6364.847,30,0,0,0,0,0,0,0,25.73,25,,,,
187,1,SBT0550,001,1,,1,0,4370.183,4340,4340,0,4340,02/22/2019 17:36:16,02/22/2019 16:23:26,3222.2854,-1640.2,0,1977.037,0,6394.204,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4390.183,4360,4360,0,4360,02/22/2019 17:36:36,02/22/2019 16:23:26,3222.1868,-1639.9,0,1986.147,0,6423.56,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4410.183,4380,4380,0,4380,02/22/2019 17:36:56,02/22/2019 16:23:26,3221.828,-1640.1,0,1995.258,0,6452.916,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4430.183,4400,4400,0,4400,02/22/2019 17:37:16,02/22/2019 16:23:26,3221.8134,-1640,0,2004.369,0,6482.27,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4450.183,4420,4420,0,4420,02/22/2019 17:37:36,02/22/2019 16:23:26,3221.7384,-1639.7,0,2013.48,0,6511.623,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4470.183,4440,4440,0,4440,02/22/2019 17:37:56,02/22/2019 16:23:26,3221.3642,-1639.9,0,2022.59,0,6540.974,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4490.183,4460,4460,0,4460,02/22/2019 17:38:16,02/22/2019 16:23:26,3221.4468,-1639.9,0,2031.701,0,6570.324,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4510.183,4480,4480,0,4480,02/22/2019 17:38:36,02/22/2019 16:23:26,3221.201,-1640.2,0,2040.812,0,6599.673,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4530.183,4500,4500,0,4500,02/22/2019 17:38:56,02/22/2019 16:23:26,3221.3492,-1639.8,0,2049.923,0,6629.021,30,0,0,0,0,0,0,0,25.73,25.1,,,,
187,1,SBT0550,001,1,,1,0,4550.183,4520,4520,0,4520,02/22/2019 17:39:16,02/22/2019 16:23:26,3221.1608,-1639.9,0,2059.034,0,6658.37,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4570.183,4540,4540,0,4540,02/22/2019 17:39:36,02/22/2019 16:23:26,3221.0706,-1639.9,0,2068.144,0,6687.716,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,4590.183,4560,4560,0,4560,02/22/2019 17:39:56,02/22/2019 16:23:26,3220.9512,-1639.9,0,2077.255,0,6717.061,30,0,0,0,0,0,0,0,25.72,25.1,,,,
187,1,SBT0550,001,1,,1,0,4610.183,4580,4580,0,4580,02/22/2019 17:40:16,02/22/2019 16:23:26,3220.738,-1639.7,0,2086.366,0,6746.404,2,0,0,0,0,0,0,0,,,,,,
